bg_id,date,station,alex_qpcr,dens,alex_seqs_18s,tot_18s_seqs,sxtA
SB308,5/17/18,36,ND,NA,NA,NA,NA
SB312,6/6/18,32,ND,NA,NA,NA,NA
SB313,6/6/18,36,ND,NA,NA,NA,NA
SB315,6/11/18,13,ND,NA,NA,NA,NA
SB319,6/11/18,32,ND,NA,NA,NA,NA
SB320,6/11/18,34,ND,NA,NA,NA,NA
SB323,7/12/18,13,498,NA,NA,NA,NA
SB327,7/12/18,32,ND,NA,NA,NA,NA
SB328,7/12/18,34,ND,NA,NA,NA,NA
SB332,7/20/18,36,ND,NA,NA,NA,NA
SB333,7/20/18,22,ND,NA,NA,NA,NA
SB334,7/20/18,32,ND,NA,NA,NA,NA
SB337,8/3/18,27,ND,NA,NA,NA,NA
SB338,8/3/18,32,ND,NA,NA,NA,NA
SB339,8/3/18,36,ND,NA,NA,NA,NA
SB341,8/14/18,13,ND,NA,NA,NA,NA
SB345,8/14/18,32,ND,NA,NA,NA,NA
SB346,8/14/18,36,ND,NA,NA,NA,NA
SB60,8/18/16,32,ND,NA,NA,NA,NA
SB104,12/13/16,13,ND,NA,NA,NA,NA
SB112,1/11/17,13,ND,NA,NA,NA,NA
SB123,2/8/17,13,ND,NA,NA,NA,NA
SB141,4/18/17,13,ND,NA,NA,NA,NA
